key,emo,version,name,status,uni,codepoints
merman_medium_skin_tone,🧜🏽‍♂,E5.0,merman: medium skin tone,minimally-qualified,1f9dc_1f3fd_200d_2642,1F9DC 1F3FD 200D 2642
merman_medium_dark_skin_tone,🧜🏾‍♂,E5.0,merman: medium-dark skin tone,minimally-qualified,1f9dc_1f3fe_200d_2642,1F9DC 1F3FE 200D 2642
merman_dark_skin_tone,🧜🏿‍♂,E5.0,merman: dark skin tone,minimally-qualified,1f9dc_1f3ff_200d_2642,1F9DC 1F3FF 200D 2642
mermaid,🧜‍♀,E5.0,mermaid,minimally-qualified,1f9dc_200d_2640,1F9DC 200D 2640
mermaid_light_skin_tone,🧜🏻‍♀,E5.0,mermaid: light skin tone,minimally-qualified,1f9dc_1f3fb_200d_2640,1F9DC 1F3FB 200D 2640
mermaid_medium_light_skin_tone,🧜🏼‍♀,E5.0,mermaid: medium-light skin tone,minimally-qualified,1f9dc_1f3fc_200d_2640,1F9DC 1F3FC 200D 2640
mermaid_medium_skin_tone,🧜🏽‍♀,E5.0,mermaid: medium skin tone,minimally-qualified,1f9dc_1f3fd_200d_2640,1F9DC 1F3FD 200D 2640
mermaid_medium_dark_skin_tone,🧜🏾‍♀,E5.0,mermaid: medium-dark skin tone,minimally-qualified,1f9dc_1f3fe_200d_2640,1F9DC 1F3FE 200D 2640
mermaid_dark_skin_tone,🧜🏿‍♀,E5.0,mermaid: dark skin tone,minimally-qualified,1f9dc_1f3ff_200d_2640,1F9DC 1F3FF 200D 2640
elf,🧝,E5.0,elf,fully-qualified,1f9dd,1F9DD
elf_light_skin_tone,🧝🏻,E5.0,elf: light skin tone,fully-qualified,1f9dd_1f3fb,1F9DD 1F3FB
elf_medium_light_skin_tone,🧝🏼,E5.0,elf: medium-light skin tone,fully-qualified,1f9dd_1f3fc,1F9DD 1F3FC
elf_medium_skin_tone,🧝🏽,E5.0,elf: medium skin tone,fully-qualified,1f9dd_1f3fd,1F9DD 1F3FD
